[2020-01-14T01:20:25] T = 1750000 / 50000000 | Avg. reward: -198.87871167028322 | Avg. Q: -9.823721885681152
[2020-01-14T01:39:24] T = 1760000 / 50000000 | Avg. reward: -197.73169505350756 | Avg. Q: -9.808938980102539
[2020-01-14T01:58:23] T = 1770000 / 50000000 | Avg. reward: -197.78817452326416 | Avg. Q: -9.810408592224121
[2020-01-14T02:17:22] T = 1780000 / 50000000 | Avg. reward: -197.73532918443902 | Avg. Q: -9.823762893676758
[2020-01-14T02:36:18] T = 1790000 / 50000000 | Avg. reward: -200.0 | Avg. Q: -9.836759567260742
[2020-01-14T02:55:16] T = 1800000 / 50000000 | Avg. reward: -198.88395648973062 | Avg. Q: -9.824840545654297
[2020-01-14T03:14:16] T = 1810000 / 50000000 | Avg. reward: -197.73322169155813 | Avg. Q: -9.84035587310791
[2020-01-14T03:33:15] T = 1820000 / 50000000 | Avg. reward: -198.90025373512879 | Avg. Q: -9.800060272216797
[2020-01-14T03:52:16] T = 1830000 / 50000000 | Avg. reward: -198.90323509333655 | Avg. Q: -9.82870101928711
[2020-01-14T04:11:13] T = 1840000 / 50000000 | Avg. reward: -197.81389504740014 | Avg. Q: -9.831644058227539
[2020-01-14T04:30:14] T = 1850000 / 50000000 | Avg. reward: -197.7212715753028 | Avg. Q: -9.805268287658691
[2020-01-14T04:49:12] T = 1860000 / 50000000 | Avg. reward: -197.79069231892004 | Avg. Q: -9.823379516601562
[2020-01-14T05:08:12] T = 1870000 / 50000000 | Avg. reward: -196.58363379583227 | Avg. Q: -9.82441234588623
[2020-01-14T05:27:12] T = 1880000 / 50000000 | Avg. reward: -198.87456124403514 | Avg. Q: -9.825624465942383
[2020-01-14T05:46:12] T = 1890000 / 50000000 | Avg. reward: -197.78611612947657 | Avg. Q: -9.803942680358887
[2020-01-14T06:05:14] T = 1900000 / 50000000 | Avg. reward: -197.72690330980345 | Avg. Q: -9.810944557189941
[2020-01-14T06:24:12] T = 1910000 / 50000000 | Avg. reward: -196.5888750870805 | Avg. Q: -9.824933052062988
[2020-01-14T06:43:11] T = 1920000 / 50000000 | Avg. reward: -195.31781831626313 | Avg. Q: -9.81019115447998
[2020-01-14T07:02:11] T = 1930000 / 50000000 | Avg. reward: -197.79047865023836 | Avg. Q: -9.807415962219238
[2020-01-14T07:21:09] T = 1940000 / 50000000 | Avg. reward: -198.83605565991718 | Avg. Q: -9.82188892364502
[2020-01-14T07:40:09] T = 1950000 / 50000000 | Avg. reward: -197.78439551218412 | Avg. Q: -9.825272560119629
[2020-01-14T07:59:09] T = 1960000 / 50000000 | Avg. reward: -197.7403860601969 | Avg. Q: -9.833052635192871
[2020-01-14T08:18:09] T = 1970000 / 50000000 | Avg. reward: -198.88344974640756 | Avg. Q: -9.80846118927002
[2020-01-14T08:37:07] T = 1980000 / 50000000 | Avg. reward: -198.84117211785167 | Avg. Q: -9.807486534118652
[2020-01-14T08:56:06] T = 1990000 / 50000000 | Avg. reward: -198.8785180934891 | Avg. Q: -9.815237998962402
[2020-01-14T09:15:06] T = 2000000 / 50000000 | Avg. reward: -197.76992059917188 | Avg. Q: -9.817607879638672
[2020-01-14T09:34:05] T = 2010000 / 50000000 | Avg. reward: -197.79478114167227 | Avg. Q: -9.830527305603027
[2020-01-14T09:53:05] T = 2020000 / 50000000 | Avg. reward: -200.0 | Avg. Q: -9.822755813598633
[2020-01-14T10:12:07] T = 2030000 / 50000000 | Avg. reward: -197.7697830640152 | Avg. Q: -9.806516647338867
[2020-01-14T10:31:09] T = 2040000 / 50000000 | Avg. reward: -198.8382156703109 | Avg. Q: -9.815690040588379
[2020-01-14T10:50:12] T = 2050000 / 50000000 | Avg. reward: -198.84006012603174 | Avg. Q: -9.838855743408203
[2020-01-14T11:09:16] T = 2060000 / 50000000 | Avg. reward: -198.88796452676877 | Avg. Q: -9.827031135559082
[2020-01-14T11:28:20] T = 2070000 / 50000000 | Avg. reward: -198.9000576139614 | Avg. Q: -9.815567016601562
[2020-01-14T11:47:23] T = 2080000 / 50000000 | Avg. reward: -197.75868958396836 | Avg. Q: -9.823891639709473
[2020-01-14T12:06:35] T = 2090000 / 50000000 | Avg. reward: -197.70788435683585 | Avg. Q: -9.816631317138672
[2020-01-14T12:25:51] T = 2100000 / 50000000 | Avg. reward: -196.62353060812222 | Avg. Q: -9.820929527282715
[2020-01-14T12:45:05] T = 2110000 / 50000000 | Avg. reward: -197.75696197989396 | Avg. Q: -9.817387580871582
[2020-01-14T13:04:14] T = 2120000 / 50000000 | Avg. reward: -198.9002187555842 | Avg. Q: -9.834623336791992
[2020-01-14T13:23:24] T = 2130000 / 50000000 | Avg. reward: -197.789586980585 | Avg. Q: -9.8421049118042
[2020-01-14T13:42:36] T = 2140000 / 50000000 | Avg. reward: -197.6395001860708 | Avg. Q: -9.831042289733887
[2020-01-14T14:01:52] T = 2150000 / 50000000 | Avg. reward: -197.80224214050918 | Avg. Q: -9.81856632232666
[2020-01-14T14:07:57] T = 0 / 50000000 | Avg. reward: -200.0 | Avg. Q: -0.014805385410785675
[2020-01-14T14:53:18] T = 0 / 50000000 | Avg. reward: -200.0 | Avg. Q: 0.04386255050698916
[2020-01-15T14:39:05] T = 5000 / 50000000 | Avg. reward: -160.09105678299807 | Avg. Q: -8.846176147460938
[2020-01-15T14:51:15] T = 10000 / 50000000 | Avg. reward: -164.25118046074107 | Avg. Q: -9.720536231994629
[2020-01-15T17:41:40] T = 3000 / 50000000 | Avg. reward: -200.0 | Avg. Q: -9.020049095153809
[2020-01-15T17:49:33] T = 6000 / 50000000 | Avg. reward: -200.0 | Avg. Q: -8.990387916564941
[2020-01-15T17:58:03] T = 9000 / 50000000 | Avg. reward: -200.0 | Avg. Q: -9.85680866241455
